station_name,station_latitude,station_longitude,station_no,station_id,itemDate,itemValue,itemValue2,accumRange,ts_id,oldtime,id
Cleuchhead,56.94774412,-2.388756894,499810,38178,2025-05-26 08:00:00,4.2,4.2,5,66236010,0,213
Cluanie Inn,57.15628843,-5.181590945,336370,37754,2025-05-24 01:00:00,9.2,9.2,10,66183010,1,201
Coignafearn,57.23285188,-4.139289943,115318,35616,2025-05-24 03:00:00,6.6,6.6,10,65989010,1,44
Coille Mhorgil,57.0643694,-5.134923813,115319,35620,2025-05-24 04:00:00,14,14,20,65990010,1,51
Colliston,56.61000991,-2.637841019,14921,36568,2025-05-24 01:00:00,4.4,4.4,5,66074010,1,175
Comer Farm,56.20150723,-4.60131038,552791,487682,2025-05-24 00:00:00,8.2,8.2,10,66558010,1,173
Comiston Rain Gauge,55.91019401,-3.21598827,525510,38320,2025-05-24 01:00:00,6,6,10,66249010,1,60
Corrimony,57.33501743,-4.699729622,115322,35624,2025-05-24 02:00:00,4.6,4.6,5,65991010,1,276
Corsock,55.05876816,-3.945715778,336434,37762,2025-05-24 01:00:00,8.8,8.8,10,66185010,1,137
Coulter Reservoir,55.53306378,-3.52983359,301400,37574,2025-05-24 05:00:00,11.6,11.6,20,66141010,1,80
Craigdarroch,55.196659,-3.981943267,115541,35768,2025-05-25 15:00:00,24.4,24.4,30,66014010,0,58
Craigenlee Croft Raingauge,54.86294592,-5.075279664,513003,38262,2025-05-24 01:00:00,11.8,11.8,20,66244010,1,149
Creed Bridge,58.20454028,-6.424227928,234190,37236,2025-05-24 04:00:00,17.6,17.6,20,66122010,1,139
Crichton,55.84509063,-2.988655721,15224,37112,2025-05-26 09:00:00,6,6,10,66114010,0,232
Cullen,57.68712295,-2.83323079,234192,37246,2025-05-24 01:00:00,3.2,3.2,5,66123010,1,49
Culloden Battlefield,57.47676464,-4.09126842,498341,38166,2025-05-24 01:00:00,6.4,6.4,10,66234010,1,271
Culzean Castle,55.35068095,-4.791520726,115544,35772,2025-05-24 02:00:00,8.2,8.2,10,66015010,1,40
Dalbeattie STW,54.92152642,-3.821987578,115546,35776,2025-05-24 04:00:00,8.2,8.2,10,66016010,1,184
Dalblair,55.44485443,-4.151929697,538510,38378,2025-05-24 04:00:00,11.6,11.6,20,66254010,1,108
Daldowie STW,55.83262494,-4.122714806,327232,37624,2025-05-24 01:00:00,7.6,7.6,10,66147010,1,7
Dallachy No 2,57.66404417,-3.071018416,205724,37124,2025-05-24 01:00:00,4.4,4.4,5,66117010,1,164
Dalmarnock STW,55.8374507,-4.216965486,327234,37628,2025-05-24 01:00:00,8.2,8.2,10,66148010,1,27
Dalnamein,56.79925858,-4.053453634,14960,36710,2025-05-24 00:00:00,7.6,7.6,10,66081010,1,188
Dalwhinnie,56.94069555,-4.238639574,302120,37578,2025-05-24 01:00:00,4.8,4.8,5,66142010,1,29
Deanston RG,56.19223931,-4.077181451,341338,37800,2025-05-24 01:00:00,7,7,10,66191010,1,110
Delnashaugh,57.39970792,-3.357845061,234198,37252,2025-05-24 04:00:00,6.6,6.6,10,66124010,1,107
Derry Lodge,57.02065155,-3.58738853,454765,38026,2025-05-24 01:00:00,5.6,5.6,10,66170010,1,19
Deskry Shiel,57.18037959,-2.983867766,335582,37664,2025-05-24 01:00:00,5.6,5.6,10,66156010,1,114
Dingwall,57.59992025,-4.446997097,115329,35632,2025-05-24 02:00:00,5.2,5.2,10,65993010,1,198
Dippen,55.58274848,-5.496523588,133077,36060,2025-05-24 03:00:00,15,15,20,66051010,1,259
Dipple,57.61125291,-3.115476523,115217,35528,2025-05-24 02:00:00,6.4,6.4,10,65974010,1,3
Dosmucheran,57.59587318,-5.005770119,234202,37262,2025-05-25 18:00:00,24.6,24.6,30,66125010,0,26
Drum,56.18484641,-3.532323684,464646,38058,2025-05-24 01:00:00,6.8,6.8,10,66221010,1,84
Drumjohn,55.24992466,-4.32205779,115557,35792,2025-05-24 02:00:00,17.4,17.4,20,66017010,1,261
Drummore of Cantray,57.48325079,-4.006176025,377134,38006,2025-05-24 01:00:00,5.8,5.8,10,66216010,1,179
Dunbar,56.00371307,-2.52752897,15216,37104,2025-05-24 01:00:00,4.2,4.2,5,66164010,1,11
Dundreggan Rain Gauge,57.19161541,-4.767634199,530175,38324,2025-05-24 01:00:00,6.4,6.4,10,66250010,1,146
Dunlop,55.70737993,-4.528674906,115559,35800,2025-05-26 09:00:00,43.4,43.4,50,66018010,0,123
Dunnottar Radio Station,56.94652496,-2.21202446,509196,38236,2025-05-24 01:00:00,2,2,5,66241010,1,24
Dunnswood STW (Cumbernauld),55.97221885,-3.954505606,15180,37052,2025-05-24 01:00:00,9,9,10,66106010,1,154
Dunstaffnage,56.45050242,-5.439870612,365257,37906,2025-05-24 01:00:00,14,14,20,66203010,1,64
Durkadale,59.10852817,-3.232172832,234207,37272,2025-05-24 04:00:00,0.2,0.2,1,66126010,1,262
Earlsburn reservoir RG,56.07055238,-4.07597911,568155,38452,2025-05-24 01:00:00,8.2,8.2,10,66258010,1,42
East Kilbride,55.75477386,-4.171759227,115560,35804,2025-05-24 04:00:00,11.8,11.8,20,66019010,1,104
Edinburgh RBG (Royal Botanic Garden),55.96662337,-3.212310737,15201,37076,2025-05-24 01:00:00,6.2,6.2,10,66111010,1,66
